numero_de_trabajador,distrito,neto_catorcenal_sin_deducciones,complemento_salario_catorcenal,sueldo_diario,amortizacion_infonavit,fonacot,apoyo_de_pasajes,apoyo_vist_familiar,estancia,renta,campamento,apoyo_estudios,gasolina,amv,laborados
1,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
135,MATRIZ,4000,0,323.37,0,0,1302.86,0,0,0,0,0,0,0,30.40
2086,MATRIZ,15866.64,0,1450,0,0,0,0,1000,0,0,0,0,7500,30.40
4,MATRIZ,3000,0,228.51,0,0,0,0,0,0,0,0,0,0,30.40
679,MATRIZ,5400,0,451.98,0,0,1302.86,0,0,0,0,0,0,0,30.40
100,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
1301,MATRIZ,9000,1000,791.49,0,0,0,0,0,0,0,0,0,4000,30.40
8,MATRIZ,25000,0,2455.07,0,0,0,0,0,0,0,0,0,0,30.40
666,MATRIZ,7000,3000,596.18,0,0,0,0,0,0,0,0,0,0,30.40
6,MATRIZ,6800,0,567.2,0,0,0,0,0,0,0,0,0,0,30.40
640,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
668,MATRIZ,5250,0,424.25,0,0,0,0,0,0,0,0,0,0,30.40
654,MATRIZ,8000,0,697.18,0,0,0,0,0,0,0,0,0,0,30.40
13,MATRIZ,5000,0,422.3,0,0,0,0,0,0,0,0,0,0,30.40
2052,MATRIZ,10000,0,900.22,0,0,0,0,1000,0,0,0,0,6000,30.40
652,MATRIZ,7000,0,596.18,0,0,1302.86,0,0,0,0,0,0,0,30.40
123,MATRIZ,8500,0,744.33,0,0,0,0,0,0,0,0,1600,1960,30.40
15,MATRIZ,3300,0,263.03,0,0,1302.86,0,0,0,0,0,0,0,30.40
683,MATRIZ,4000,0,323.37,0,0,1302.86,0,0,0,0,0,0,0,30.40
1020,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
2093,MATRIZ,7000,0,602.87,0,0,0,0,0,0,0,0,0,0,30.40
18,MATRIZ,8563,0,760.53,0,0,0,0,0,0,0,0,0,5000,30.40
2084,MATRIZ,12500,0,1121.57,0,0,0,0,0,6000,0,0,0,9000,30.40
2004,MATRIZ,6600,0,803.12,0,0,0,0,0,0,0,0,0,0,30.40
676,MATRIZ,4000,0,323.37,0,0,0,0,0,0,0,0,1600,0,30.40
677,MATRIZ,5000,0,408.97,0,0,1302.86,0,0,0,0,0,0,0,30.40
173,MATRIZ,11100,0,989.54,0,0,0,0,0,6000,0,0,0,0,30.40
149,MATRIZ,15204,0,1389.5,0,0,0,0,0,6000,0,0,0,7500,30.40
29,MATRIZ,12500,0,1121.57,0,0,0,0,0,0,0,0,2800,7500,30.40
650,MATRIZ,6300,0,536.85,0,0,1302.86,0,0,0,0,0,0,0,30.40
3204,MATRIZ,9000,0,791.49,0,0,0,0,0,5000,0,0,0,1960,30.40
667,MATRIZ,6000,0,501.9,0,0,0,0,0,0,0,0,1600,1750,30.40
674,MATRIZ,5250,0,424.25,0,0,0,0,0,0,0,0,0,0,30.40
641,MATRIZ,6500,0,555.72,0,1031.01,1302.86,0,0,0,0,0,0,0,30.40
669,MATRIZ,5000,0,408.97,0,0,1302.86,0,0,0,0,0,0,0,30.40
682,MATRIZ,4000,0,323.37,0,0,1302.86,0,0,0,0,0,0,0,30.40
602,MATRIZ,12000,0,1146,0,0,0,0,0,0,0,1500,2000,6000,30.40
2442,MATRIZ,7000,0,596.18,0,0,0,0,0,5000,0,0,0,5000,30.40
663,MATRIZ,10000,10000,885.8,9991.67,0,0,0,1000,0,0,0,0,3000,30.40
44,MATRIZ,10000,0,885.8,0,0,0,0,0,0,0,0,2000,6000,30.40
46,MATRIZ,5000,0,408.97,0,0,1302.86,0,0,0,0,0,0,0,30.40
49,MATRIZ,5000,0,408.97,2941.26,0,1302.86,0,0,0,0,0,0,0,30.40
2543,MATRIZ,4000,0,323.37,0,0,1302.86,0,0,0,0,0,0,0,30.40
83,MATRIZ,5000,0,408.97,0,0,1302.86,0,0,0,0,0,0,0,30.40
636,MATRIZ,7000,0,596.18,0,0,1302.86,0,0,0,0,0,0,0,30.40
53,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
54,MATRIZ,7800,0,678.32,0,0,0,0,0,0,0,0,0,0,30.40
3014,MATRIZ,22300,0,2160.02,0,4814.22,0,0,0,0,0,0,3529,9000,30.40
55,MATRIZ,11000,0,980.11,0,0,0,0,0,0,0,0,0,0,30.40
625,MATRIZ,9000,0,791.49,0,2668.08,0,0,0,0,0,0,1600,5000,30.40
154,MATRIZ,7000,0,596,0,1986.35,0,0,0,0,0,0,0,0,30.40
4034,MATRIZ,9000,0,791.49,0,0,0,0,0,0,0,0,1600,1960,30.40
648,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
151,MATRIZ,8000,0,697.18,0,0,0,0,0,6000,0,0,2000,2100,30.40
189,MATRIZ,4100,0,332.23,0,0,1302.86,0,0,0,0,0,0,0,30.40
200,MATRIZ,8400,0,730,0,3754.29,0,0,0,6000,0,0,0,0,30.40
637,MATRIZ,25000,0,2492.45,0,0,0,0,0,0,0,0,0,0,30.40
60,MATRIZ,17000,0,1609.97,0,0,0,0,0,0,0,0,4310,0,30.40
61,MATRIZ,12000,0,1074.42,0,0,0,0,0,0,0,0,0,0,30.40
680,MATRIZ,4200,0,341.25,0,0,0,0,0,0,0,0,0,0,30.40
630,MATRIZ,10000,0,885.8,0,0,0,0,0,4000,0,0,0,1750,30.40
681,MATRIZ,3000,0,228.51,0,0,0,0,0,0,0,0,0,0,30.40
684,MATRIZ,7000,0,602.87,0,0,0,0,0,0,0,0,0,0,30.40
658,MATRIZ,7000,0,602,3811.59,0,0,0,0,0,0,0,0,0,30.40
611,MATRIZ,9500,0,838.64,0,0,0,0,0,0,0,0,0,4200,30.40
1319,MATRIZ,3400,1000,271.32,1093.07,0,1302.86,0,0,0,0,0,0,0,30.40
64,MATRIZ,21000,0,2051.21,0,0,0,0,0,0,0,0,0,0,30.40
2487,MATRIZ,12966,0,1166,0,0,0,0,0,6000,0,0,2000,6000,30.40
85,MATRIZ,10400,0,919,0,0,0,0,0,0,0,2192,2000,6000,30.40
179,MATRIZ,9000,0,791.49,0,0,0,0,0,0,0,0,0,0,30.40
675,MATRIZ,7100,0,612.3,3762.91,0,0,0,0,0,0,0,0,0,30.40
3071,MATRIZ,8000,0,697.18,0,0,0,0,0,0,0,0,0,6000,30.40
70,MATRIZ,20000,0,1940.9,11003.82,0,0,0,0,0,0,0,0,9000,30.40
71,MATRIZ,14000,0,1279.04,0,0,0,0,0,0,0,0,3200,7500,30.40
653,MATRIZ,5500,0,454.72,0,0,1302.86,0,0,0,0,0,0,0,30.40
1,MATRIZ,3000,0,228.51,0,0,1302.86,0,0,0,0,0,0,0,30.40
74,MATRIZ,3000,0,228.51,2594.98,0,0,0,0,0,0,0,0,0,30.40
685,MATRIZ,4000,0,323.37,2036.07,0,1302.86,0,0,0,0,0,0,0,30.40
671,MATRIZ,5900,0,499.13,0,0,1302.86,0,0,0,0,0,0,0,30.40
78,MATRIZ,22073.19,0,2121.6,0,0,0,0,0,0,0,0,3200,8500,30.40
605,MATRIZ,10000,0,880,0,0,0,0,0,0,0,0,2000,6000,30.40
651,MATRIZ,6000,0,501.9,0,0,1302.86,0,0,0,0,0,0,0,30.40
2015,MATRIZ,10750,1750,951.5,0,0,0,0,0,0,0,0,2000,6000,30.40
